,entity,summary,headline
89,CBS,"focused private equity firm Zelnick Media Capital, according to the statement.,,,,,,","CBS's interim chairman, Richard Parsons, resigns from board because of ill healthRichard Parsons, who said he had complications from a form of cancer, will be replaced by Strauss Zelnick, who founded the media"
90,CHTR,"Yahoo Finance's Jared Blikre joins Melody Hahm from the floor of the New York Stock Exchange to break down the latest market moves. Here's the performance of the Nasdaq 100 component stocks as of 10:00 am ET: NFLX Netflix Inc 3.63% WYNN Wynn Resor...,,,,,,",MARKETS: Goldman says buy Sonos—here's why
91,FTI,"Linde says FTC's Commissioners looking into merger,,,,,,",Linde says FTC's Commissioners looking into merger
92,MRK,"stage biopharmaceutical company that focuses on cancer treatments, said on Friday it will review its clinical program after Merck & Co., Inc. (NYSE: MRK ) ...,,,,,,","Cantor Fitzgerald Double Downgrades NewLink Genetics After Incyte's Disappointing TrialNewLink Genetics Corp (NASDAQ: NLNK ), a late"
93,PG,nan,Consumer favorites routed along with rest of market
94,FB,"media company’s policies, despite decisions by Facebook Inc. and Google’s YouTube ...,,,,,,",Dorsey Says InfoWars' Alex Jones Hasn't Violated Twitter's RulesTwitter Inc. Chief Executive Officer Jack Dorsey said that Alex Jones and his show InfoWars can continue to use the service because they haven’t violated the social
95,FOX,nan,Wall Street Breakfast: Fate Of The Iran Nuclear Deal?
96,PNC,"William Adams of The PNC Financial Services Group says there is unlikely to be ""much appetite"" for Mexico to withdraw from the North American Free Trade Agreement.,,,,,,",The future of NAFTA as Mexico elects a new president
97,COST,"NA,,,,,,","VC Deals Of The Week: MegaRounds For Slack, One Medical, And Getaround"
98,SYK,nan,SEC charges Stryker (again) for violating Foreign Corrupt Practices Act
99,CMCSA,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Shares of Comcast down more than 2% premarketThis is a Real
100,ESS,"Tanger Factory Outlet to become the newest Champion. NextEra, Ross Stores, Albemarle, and Essex inch closer to Champion status. Which companies will provide dou,,,,,,",Dividend Contenders: 32 Increases Expected By The End Of April
101,AGN,"Jim Cramer rattles off his take on callers' favorite stocks, including a pharmaceutical play on a tear.,,,,,,",Cramer's lightning round: Buy into Allergan's roaring stock below $180
102,HD,"Jim Cramer defends Home Depot's earnings call despite the company's weaker than expected quarterly report.,,,,,,",Cramer calls on investors to give Home Depot the benefit of the doubt after earnings miss
103,UNP,"13 Mega Stocks With Rising Dividend Estimates: Barron’s lists companies whose dividend estimates have increased by at least 2% over the last six months.,,,,,,",13 Mega Stocks With Rising Dividend Estimates
104,GOOG,"The General Data Protection Regulation (GDPR) that came into effect on May 25 has started to show its might.  Max Schrems, a prominent Australian privacy campaigner, has filed four different lawsuits against Facebook Inc. ( FB) and Alphabet Inc.’s...,,,,,,","Google, Facebook Face $8.8B GDPR Suits on Day One"
105,SCHW,nan,Steady As She Goes For AllianceBernstein
106,MAR,"NA,,,,,,",Marriott International (MAR) Q4 2017 Results  Earnings Call Transcript
107,PSA," CEO Ronald Havner's FY 2017 Total Compensation Was $10.5 Mln V/s $11.2 Mln In FY 2016-* PUBLIC STORAGE SAYS CEO RONALD HAVNER'S FY 2017 TOTAL COMPENSATION WAS $10.5 MILLION VERSUS $11.2 MILLION IN FY 2016 - SEC FILING,,,,,,",BRIEFPublic Storage 
108,PM,nan,How To Retire With Dividend Stocks And Recession Fears
109,TIF,"Tiffany's quarterly same store sales grew but disappointed Wall Street, and its profit forecast was also largely below expectations. Fred Katayama reports.},,,,,,",Tiffany sales lose sparkle
110,GOOGL,"Market Analysis by Viktor Shpakovsky covering: Deutsche Bank AG NA O.N., Alphabet Inc Class A, Alphabet Inc C, ETH/USD. Read Viktor Shpakovsky's Market Analysis on Investing.com,,,,,,","Initial Coin Offerings To Watch: Keep Network, Traxia"
111,BDX,nan,"Becton, Dickinson's Dividend Continues To Grow Post C.R. Bard Acquisition"
112,TSN,nan,Alpha Achieved: How I Beat The Market
113,KHC,"The Zacks Analyst Blog Highlights: Cisco, Kraft Heinz, Sinopec, Glaxo and Progressive,,,,,,","The Zacks Analyst Blog Highlights: Cisco, Kraft Heinz, Sinopec, Glaxo and Progressive"
114,PFG,"Zacks.com featured highlights include: MGM, Huntsman, Principal Financial, Unum and Wintrust,,,,,,","Zacks.com featured highlights include: MGM, Huntsman, Principal Financial, Unum and Wintrust"
115,NUE,"Jim Cramer speaks to Nucor Chairman and CEO John Ferriola about Chinese steel dumping and President Trump's agenda.,,,,,,",Top steel CEO says US 'desperately' needs new infrastructure to sustain economic boom
116,AMP," Automotive Properties Real Esta...,,,,,,","Automotive Properties REIT Completes $55 Million Equity OfferingAutomotive Properties REIT Completes $55 Million Equity Offering Canada NewsWire TORONTO, Oct. 16, 2018 /NOT FOR DISTRIBUTION IN THE UNITED STATES OR OVER UNITED STATES WIRE SERVICES/ TORONTO , Oct. 16, 2018 /CNW/ "
117,PEP,"NA,,,,,,","PepsiCo, Inc.  Taking All The Right Steps"
118,NTAP,"Is (NTAP) Outperforming Other Computer and Technology Stocks This Year?,,,,,,",Is NetApp (NTAP) Outperforming Other Computer and Technology Stocks This Year?
119,PEP,nan,PepsiCo declares $0.9275 dividend
120,LYB,nan,LyondellBasell moves higher as Barron's touts 'plastic is fantastic'
